Index,Competition,Date,Home_Team,Away_Team,Home_Score,Away_Score,Season,Place,Year,Month,Atletico_Goals,Opponent_Goals,Goal_Difference,Match_Status
0,Spain Liga,2025-11-01,Atletico Madrid,Sevilla,3,0,2025/26,Home,2025,11,3,0,3,Win
1,Spain Liga,2025-10-27,Real Betis,Atletico Madrid,0,2,2025/26,Away,2025,10,2,0,2,Win
2,UEFA Champions League,2025-10-21,Arsenal,Atletico Madrid,4,0,2025/26,Away,2025,10,0,4,-4,Loss
3,Spain Liga,2025-10-18,Atletico Madrid,Osasuna,1,0,2025/26,Home,2025,10,1,0,1,Win
4,Spain Liga,2025-10-05,Celta Vigo,Atletico Madrid,1,1,2025/26,Away,2025,10,1,1,0,Draw
5,UEFA Champions League,2025-09-30,Atletico Madrid,Eintracht Frankfurt,5,1,2025/26,Home,2025,9,5,1,4,Win
6,Spain Liga,2025-09-27,Atletico Madrid,Real Madrid,5,2,2025/26,Home,2025,9,5,2,3,Win
7,Spain Liga,2025-09-24,Atletico Madrid,Rayo Vallecano,3,2,2025/26,Home,2025,9,3,2,1,Win
8,Spain Liga,2025-09-21,Mallorca,Atletico Madrid,1,1,2025/26,Away,2025,9,1,1,0,Draw
9,UEFA Champions League,2025-09-17,Liverpool FC,Atletico Madrid,3,2,2025/26,Away,2025,9,2,3,-1,Loss
10,Spain Liga,2025-09-13,Atletico Madrid,Villarreal,2,0,2025/26,Home,2025,9,2,0,2,Win
11,Spain Liga,2025-08-30,Deportivo Alaves,Atletico Madrid,1,1,2025/26,Away,2025,8,1,1,0,Draw
12,Spain Liga,2025-08-23,Atletico Madrid,Elche,1,1,2025/26,Home,2025,8,1,1,0,Draw
13,Spain Liga,2025-08-17,RCD Espanyol,Atletico Madrid,2,1,2025/26,Away,2025,8,1,2,-1,Loss
14,Spain Liga,2025-05-25,Girona,Atletico Madrid,0,4,2024/25,Away,2025,5,4,0,4,Win
15,Spain Liga,2025-05-18,Atletico Madrid,Real Betis,4,1,2024/25,Home,2025,5,4,1,3,Win
16,Spain Liga,2025-05-15,Osasuna,Atletico Madrid,2,0,2024/25,Away,2025,5,0,2,-2,Loss
17,Spain Liga,2025-05-10,Atletico Madrid,Real Sociedad,4,0,2024/25,Home,2025,5,4,0,4,Win
18,Spain Liga,2025-05-03,Deportivo Alaves,Atletico Madrid,0,0,2024/25,Away,2025,5,0,0,0,Draw
19,Spain Liga,2025-04-24,Atletico Madrid,Rayo Vallecano,3,0,2024/25,Home,2025,4,3,0,3,Win
20,Spain Liga,2025-04-19,Las Palmas,Atletico Madrid,1,0,2024/25,Away,2025,4,0,1,-1,Loss
21,Spain Liga,2025-04-14,Atletico Madrid,Real Valladolid,4,2,2024/25,Home,2025,4,4,2,2,Win
22,Spain Liga,2025-04-06,Sevilla,Atletico Madrid,1,2,2024/25,Away,2025,4,2,1,1,Win
23,Spain Liga,2025-03-29,RCD Espanyol,Atletico Madrid,1,1,2024/25,Away,2025,3,1,1,0,Draw
24,Spain Liga,2025-03-16,Atletico Madrid,Barcelona,2,4,2024/25,Home,2025,3,2,4,-2,Loss
25,UEFA Champions League,2025-03-12,Atletico Madrid,Real Madrid,1,0,2024/25,Home,2025,3,1,0,1,Win
26,Spain Liga,2025-03-09,Getafe,Atletico Madrid,2,1,2024/25,Away,2025,3,1,2,-1,Loss
27,UEFA Champions League,2025-03-04,Real Madrid,Atletico Madrid,2,1,2024/25,Away,2025,3,1,2,-1,Loss
28,Spain Liga,2025-03-01,Atletico Madrid,Athletic Bilbao,1,0,2024/25,Home,2025,3,1,0,1,Win
29,Spain Liga,2025-02-22,Valencia,Atletico Madrid,0,3,2024/25,Away,2025,2,3,0,3,Win
30,Spain Liga,2025-02-15,Atletico Madrid,Celta Vigo,1,1,2024/25,Home,2025,2,1,1,0,Draw
31,Spain Liga,2025-02-08,Real Madrid,Atletico Madrid,1,1,2024/25,Away,2025,2,1,1,0,Draw
32,Spain Liga,2025-02-01,Atletico Madrid,Mallorca,2,0,2024/25,Home,2025,2,2,0,2,Win
33,UEFA Champions League,2025-01-29,Red Bull Salzburg,Atletico Madrid,1,4,2024/25,Away,2025,1,4,1,3,Win
34,Spain Liga,2025-01-25,Atletico Madrid,Villarreal,1,1,2024/25,Home,2025,1,1,1,0,Draw
35,UEFA Champions League,2025-01-21,Atletico Madrid,Bayer Leverkusen,2,1,2024/25,Home,2025,1,2,1,1,Win
36,Spain Liga,2025-01-18,Leganes,Atletico Madrid,1,0,2024/25,Away,2025,1,0,1,-1,Loss
37,Spain Liga,2025-01-12,Atletico Madrid,Osasuna,1,0,2024/25,Home,2025,1,1,0,1,Win
38,Spain Liga,2024-12-21,Barcelona,Atletico Madrid,1,2,2024/25,Away,2024,12,2,1,1,Win
39,Spain Liga,2024-12-15,Atletico Madrid,Getafe,1,0,2024/25,Home,2024,12,1,0,1,Win
40,UEFA Champions League,2024-12-11,Atletico Madrid,Slovan Bratislava,3,1,2024/25,Home,2024,12,3,1,2,Win
41,Spain Liga,2024-12-08,Atletico Madrid,Sevilla,4,3,2024/25,Home,2024,12,4,3,1,Win
42,Spain Liga,2024-11-30,Real Valladolid,Atletico Madrid,0,5,2024/25,Away,2024,11,5,0,5,Win
43,UEFA Champions League,2024-11-26,Sparta Prague,Atletico Madrid,0,6,2024/25,Away,2024,11,6,0,6,Win
44,Spain Liga,2024-11-23,Atletico Madrid,Deportivo Alaves,2,1,2024/25,Home,2024,11,2,1,1,Win
45,Spain Liga,2024-11-10,Mallorca,Atletico Madrid,0,1,2024/25,Away,2024,11,1,0,1,Win
46,UEFA Champions League,2024-11-06,Paris Saint-Germain,Atletico Madrid,1,2,2024/25,Away,2024,11,2,1,1,Win
47,Spain Liga,2024-11-03,Atletico Madrid,Las Palmas,2,0,2024/25,Home,2024,11,2,0,2,Win
48,Spain Liga,2024-10-27,Real Betis,Atletico Madrid,1,0,2024/25,Away,2024,10,0,1,-1,Loss
49,UEFA Champions League,2024-10-23,Atletico Madrid,Lille,1,3,2024/25,Home,2024,10,1,3,-2,Loss
50,Spain Liga,2024-10-20,Atletico Madrid,Leganes,3,1,2024/25,Home,2024,10,3,1,2,Win
51,Spain Liga,2024-10-06,Real Sociedad,Atletico Madrid,1,1,2024/25,Away,2024,10,1,1,0,Draw
52,UEFA Champions League,2024-10-02,Benfica,Atletico Madrid,4,0,2024/25,Away,2024,10,0,4,-4,Loss
53,Spain Liga,2024-09-29,Atletico Madrid,Real Madrid,1,1,2024/25,Home,2024,9,1,1,0,Draw
54,Spain Liga,2024-09-26,Celta Vigo,Atletico Madrid,0,1,2024/25,Away,2024,9,1,0,1,Win
55,Spain Liga,2024-09-22,Rayo Vallecano,Atletico Madrid,1,1,2024/25,Away,2024,9,1,1,0,Draw
56,UEFA Champions League,2024-09-19,Atletico Madrid,RB Leipzig,2,1,2024/25,Home,2024,9,2,1,1,Win
57,Spain Liga,2024-09-15,Atletico Madrid,Valencia,3,0,2024/25,Home,2024,9,3,0,3,Win
58,Spain Liga,2024-08-31,Athletic Bilbao,Atletico Madrid,0,1,2024/25,Away,2024,8,1,0,1,Win
59,Spain Liga,2024-08-28,Atletico Madrid,RCD Espanyol,0,0,2024/25,Home,2024,8,0,0,0,Draw
60,Spain Liga,2024-08-25,Atletico Madrid,Girona,3,0,2024/25,Home,2024,8,3,0,3,Win
61,Spain Liga,2024-08-19,Villarreal,Atletico Madrid,2,2,2024/25,Away,2024,8,2,2,0,Draw
62,Spain Liga,2024-05-25,Real Sociedad,Atletico Madrid,0,2,2023/24,Away,2024,5,2,0,2,Win
63,Spain Liga,2024-05-19,Atletico Madrid,Osasuna,1,4,2023/24,Home,2024,5,1,4,-3,Loss
64,Spain Liga,2024-05-15,Getafe,Atletico Madrid,0,3,2023/24,Away,2024,5,3,0,3,Win
65,Spain Liga,2024-05-12,Atletico Madrid,Celta Vigo,1,0,2023/24,Home,2024,5,1,0,1,Win
66,Spain Liga,2024-05-04,Mallorca,Atletico Madrid,0,1,2023/24,Away,2024,5,1,0,1,Win
67,Spain Liga,2024-04-27,Atletico Madrid,Athletic Bilbao,3,1,2023/24,Home,2024,4,3,1,2,Win
68,Spain Liga,2024-04-21,Deportivo Alaves,Atletico Madrid,2,0,2023/24,Away,2024,4,0,2,-2,Loss
69,Spain Liga,2024-04-13,Atletico Madrid,Girona,3,1,2023/24,Home,2024,4,3,1,2,Win
70,Spain Liga,2024-04-01,Villarreal,Atletico Madrid,1,2,2023/24,Away,2024,4,2,1,1,Win
71,Spain Liga,2024-03-17,Atletico Madrid,Barcelona,0,3,2023/24,Home,2024,3,0,3,-3,Loss
72,Spain Liga,2024-03-09,Cadiz CF,Atletico Madrid,2,0,2023/24,Away,2024,3,0,2,-2,Loss
73,Spain Liga,2024-03-03,Atletico Madrid,Real Betis,2,1,2023/24,Home,2024,3,2,1,1,Win
74,Spain Liga,2024-02-24,Almeria,Atletico Madrid,2,2,2023/24,Away,2024,2,2,2,0,Draw
75,Spain Liga,2024-02-17,Atletico Madrid,Las Palmas,5,0,2023/24,Home,2024,2,5,0,5,Win
76,Spain Liga,2024-02-11,Sevilla,Atletico Madrid,1,0,2023/24,Away,2024,2,0,1,-1,Loss
77,Spain Liga,2024-02-04,Real Madrid,Atletico Madrid,1,1,2023/24,Away,2024,2,1,1,0,Draw
78,Spain Liga,2024-01-31,Atletico Madrid,Rayo Vallecano,2,1,2023/24,Home,2024,1,2,1,1,Win
79,Spain Liga,2024-01-28,Atletico Madrid,Valencia,2,0,2023/24,Home,2024,1,2,0,2,Win
80,Spain Liga,2024-01-22,Granada,Atletico Madrid,0,1,2023/24,Away,2024,1,1,0,1,Win
81,Spain Liga,2024-01-03,Girona,Atletico Madrid,4,3,2023/24,Away,2024,1,3,4,-1,Loss
82,Spain Liga,2023-12-23,Atletico Madrid,Sevilla,1,0,2023/24,Home,2023,12,1,0,1,Win
83,Spain Liga,2023-12-19,Atletico Madrid,Getafe,3,3,2023/24,Home,2023,12,3,3,0,Draw
84,Spain Liga,2023-12-16,Athletic Bilbao,Atletico Madrid,2,0,2023/24,Away,2023,12,0,2,-2,Loss
85,Spain Liga,2023-12-10,Atletico Madrid,Almeria,2,1,2023/24,Home,2023,12,2,1,1,Win
86,Spain Liga,2023-12-03,Barcelona,Atletico Madrid,1,0,2023/24,Away,2023,12,0,1,-1,Loss
87,Spain Liga,2023-11-25,Atletico Madrid,Mallorca,1,0,2023/24,Home,2023,11,1,0,1,Win
88,Spain Liga,2023-11-12,Atletico Madrid,Villarreal,3,1,2023/24,Home,2023,11,3,1,2,Win
89,Spain Liga,2023-11-03,Las Palmas,Atletico Madrid,2,1,2023/24,Away,2023,11,1,2,-1,Loss
90,Spain Liga,2023-10-29,Atletico Madrid,Deportivo Alaves,2,1,2023/24,Home,2023,10,2,1,1,Win
91,Spain Liga,2023-10-21,Celta Vigo,Atletico Madrid,0,3,2023/24,Away,2023,10,3,0,3,Win
92,Spain Liga,2023-10-08,Atletico Madrid,Real Sociedad,2,1,2023/24,Home,2023,10,2,1,1,Win
93,Spain Liga,2023-10-01,Atletico Madrid,Cadiz CF,3,2,2023/24,Home,2023,10,3,2,1,Win
94,Spain Liga,2023-09-28,Osasuna,Atletico Madrid,0,2,2023/24,Away,2023,9,2,0,2,Win
95,Spain Liga,2023-09-24,Atletico Madrid,Real Madrid,3,1,2023/24,Home,2023,9,3,1,2,Win
96,Spain Liga,2023-09-16,Valencia,Atletico Madrid,3,0,2023/24,Away,2023,9,0,3,-3,Loss
97,Spain Liga,2023-08-28,Rayo Vallecano,Atletico Madrid,0,7,2023/24,Away,2023,8,7,0,7,Win
98,Spain Liga,2023-08-20,Real Betis,Atletico Madrid,0,0,2023/24,Away,2023,8,0,0,0,Draw
99,Spain Liga,2023-08-14,Atletico Madrid,Granada,3,1,2023/24,Home,2023,8,3,1,2,Win
100,Spain Liga,2023-06-04,Villarreal,Atletico Madrid,2,2,2022/23,Away,2023,6,2,2,0,Draw
101,Spain Liga,2023-05-28,Atletico Madrid,Real Sociedad,2,1,2022/23,Home,2023,5,2,1,1,Win
102,Spain Liga,2023-05-24,RCD Espanyol,Atletico Madrid,3,3,2022/23,Away,2023,5,3,3,0,Draw
103,Spain Liga,2023-05-21,Atletico Madrid,Osasuna,3,0,2022/23,Home,2023,5,3,0,3,Win
104,Spain Liga,2023-05-14,Elche,Atletico Madrid,1,0,2022/23,Away,2023,5,0,1,-1,Loss
105,Spain Liga,2023-05-03,Atletico Madrid,Cadiz CF,5,1,2022/23,Home,2023,5,5,1,4,Win
106,Spain Liga,2023-04-30,Real Valladolid,Atletico Madrid,2,5,2022/23,Away,2023,4,5,2,3,Win
107,Spain Liga,2023-04-26,Atletico Madrid,Mallorca,3,1,2022/23,Home,2023,4,3,1,2,Win
108,Spain Liga,2023-04-23,Barcelona,Atletico Madrid,1,0,2022/23,Away,2023,4,0,1,-1,Loss
109,Spain Liga,2023-04-16,Atletico Madrid,Almeria,2,1,2022/23,Home,2023,4,2,1,1,Win
110,Spain Liga,2023-04-09,Rayo Vallecano,Atletico Madrid,1,2,2022/23,Away,2023,4,2,1,1,Win
111,Spain Liga,2023-04-02,Atletico Madrid,Real Betis,1,0,2022/23,Home,2023,4,1,0,1,Win
112,Spain Liga,2023-03-18,Atletico Madrid,Valencia,3,0,2022/23,Home,2023,3,3,0,3,Win
113,Spain Liga,2023-03-13,Girona,Atletico Madrid,0,1,2022/23,Away,2023,3,1,0,1,Win
114,Spain Liga,2023-03-04,Atletico Madrid,Sevilla,6,1,2022/23,Home,2023,3,6,1,5,Win
115,Spain Liga,2023-02-25,Real Madrid,Atletico Madrid,1,1,2022/23,Away,2023,2,1,1,0,Draw
116,Spain Liga,2023-02-19,Atletico Madrid,Athletic Bilbao,1,0,2022/23,Home,2023,2,1,0,1,Win
117,Spain Liga,2023-02-12,Celta Vigo,Atletico Madrid,0,1,2022/23,Away,2023,2,1,0,1,Win
118,Spain Liga,2023-02-04,Atletico Madrid,Getafe,1,1,2022/23,Home,2023,2,1,1,0,Draw
119,Spain Liga,2023-01-29,Osasuna,Atletico Madrid,0,1,2022/23,Away,2023,1,1,0,1,Win
120,Spain Liga,2023-01-21,Atletico Madrid,Real Valladolid,3,0,2022/23,Home,2023,1,3,0,3,Win
121,Spain Liga,2023-01-15,Almeria,Atletico Madrid,1,1,2022/23,Away,2023,1,1,1,0,Draw
122,Spain Liga,2023-01-08,Atletico Madrid,Barcelona,0,1,2022/23,Home,2023,1,0,1,-1,Loss
123,Spain Liga,2022-12-29,Atletico Madrid,Elche,2,0,2022/23,Home,2022,12,2,0,2,Win
124,Spain Liga,2022-11-09,Mallorca,Atletico Madrid,1,0,2022/23,Away,2022,11,0,1,-1,Loss
125,Spain Liga,2022-11-06,Atletico Madrid,RCD Espanyol,1,1,2022/23,Home,2022,11,1,1,0,Draw
126,UEFA Champions League,2022-11-01,FC Porto,Atletico Madrid,2,1,2022/23,Away,2022,11,1,2,-1,Loss
127,Spain Liga,2022-10-29,Cadiz CF,Atletico Madrid,3,2,2022/23,Away,2022,10,2,3,-1,Loss
128,UEFA Champions League,2022-10-26,Atletico Madrid,Bayer Leverkusen,2,2,2022/23,Home,2022,10,2,2,0,Draw
129,Spain Liga,2022-10-23,Real Betis,Atletico Madrid,1,2,2022/23,Away,2022,10,2,1,1,Win
130,Spain Liga,2022-10-18,Atletico Madrid,Rayo Vallecano,1,1,2022/23,Home,2022,10,1,1,0,Draw
131,Spain Liga,2022-10-15,Athletic Bilbao,Atletico Madrid,0,1,2022/23,Away,2022,10,1,0,1,Win
132,UEFA Champions League,2022-10-12,Atletico Madrid,Club Brugge,0,0,2022/23,Home,2022,10,0,0,0,Draw
133,Spain Liga,2022-10-08,Atletico Madrid,Girona,2,1,2022/23,Home,2022,10,2,1,1,Win
134,UEFA Champions League,2022-10-04,Club Brugge,Atletico Madrid,2,0,2022/23,Away,2022,10,0,2,-2,Loss
135,Spain Liga,2022-10-01,Sevilla,Atletico Madrid,0,2,2022/23,Away,2022,10,2,0,2,Win
136,Spain Liga,2022-09-18,Atletico Madrid,Real Madrid,1,2,2022/23,Home,2022,9,1,2,-1,Loss
137,UEFA Champions League,2022-09-13,Bayer Leverkusen,Atletico Madrid,2,0,2022/23,Away,2022,9,0,2,-2,Loss
138,Spain Liga,2022-09-10,Atletico Madrid,Celta Vigo,4,1,2022/23,Home,2022,9,4,1,3,Win
139,UEFA Champions League,2022-09-07,Atletico Madrid,FC Porto,2,1,2022/23,Home,2022,9,2,1,1,Win
140,Spain Liga,2022-09-03,Real Sociedad,Atletico Madrid,1,1,2022/23,Away,2022,9,1,1,0,Draw
141,Spain Liga,2022-08-29,Valencia,Atletico Madrid,0,1,2022/23,Away,2022,8,1,0,1,Win
142,Spain Liga,2022-08-21,Atletico Madrid,Villarreal,0,2,2022/23,Home,2022,8,0,2,-2,Loss
143,Spain Liga,2022-08-15,Getafe,Atletico Madrid,0,3,2022/23,Away,2022,8,3,0,3,Win
144,Spain Liga,2022-05-22,Real Sociedad,Atletico Madrid,1,2,2021/22,Away,2022,5,2,1,1,Win
145,Spain Liga,2022-05-15,Atletico Madrid,Sevilla,1,1,2021/22,Home,2022,5,1,1,0,Draw
146,Spain Liga,2022-05-11,Elche,Atletico Madrid,0,2,2021/22,Away,2022,5,2,0,2,Win
147,Spain Liga,2022-05-08,Atletico Madrid,Real Madrid,1,0,2021/22,Home,2022,5,1,0,1,Win
148,Spain Liga,2022-04-30,Athletic Bilbao,Atletico Madrid,2,0,2021/22,Away,2022,4,0,2,-2,Loss
149,Spain Liga,2022-04-20,Atletico Madrid,Granada,0,0,2021/22,Home,2022,4,0,0,0,Draw
150,Spain Liga,2022-04-17,Atletico Madrid,RCD Espanyol,2,1,2021/22,Home,2022,4,2,1,1,Win
151,UEFA Champions League,2022-04-13,Atletico Madrid,Manchester City,0,0,2021/22,Home,2022,4,0,0,0,Draw
152,Spain Liga,2022-04-09,Mallorca,Atletico Madrid,1,0,2021/22,Away,2022,4,0,1,-1,Loss
153,UEFA Champions League,2022-04-05,Manchester City,Atletico Madrid,1,0,2021/22,Away,2022,4,0,1,-1,Loss
154,Spain Liga,2022-04-02,Atletico Madrid,Deportivo Alaves,4,1,2021/22,Home,2022,4,4,1,3,Win
155,Spain Liga,2022-03-19,Rayo Vallecano,Atletico Madrid,0,1,2021/22,Away,2022,3,1,0,1,Win
156,UEFA Champions League,2022-03-15,Manchester United,Atletico Madrid,0,1,2021/22,Away,2022,3,1,0,1,Win
157,Spain Liga,2022-03-11,Atletico Madrid,Cadiz CF,2,1,2021/22,Home,2022,3,2,1,1,Win
158,Spain Liga,2022-03-06,Real Betis,Atletico Madrid,1,3,2021/22,Away,2022,3,3,1,2,Win
159,Spain Liga,2022-02-26,Atletico Madrid,Celta Vigo,2,0,2021/22,Home,2022,2,2,0,2,Win
160,UEFA Champions League,2022-02-23,Atletico Madrid,Manchester United,1,1,2021/22,Home,2022,2,1,1,0,Draw
161,Spain Liga,2022-02-19,Osasuna,Atletico Madrid,0,3,2021/22,Away,2022,2,3,0,3,Win
162,Spain Liga,2022-02-16,Atletico Madrid,Levante,0,1,2021/22,Home,2022,2,0,1,-1,Loss
163,Spain Liga,2022-02-12,Atletico Madrid,Getafe,4,3,2021/22,Home,2022,2,4,3,1,Win
164,Spain Liga,2022-02-06,Barcelona,Atletico Madrid,4,2,2021/22,Away,2022,2,2,4,-2,Loss
165,Spain Liga,2022-01-22,Atletico Madrid,Valencia,3,2,2021/22,Home,2022,1,3,2,1,Win
166,Spain Liga,2022-01-09,Villarreal,Atletico Madrid,2,2,2021/22,Away,2022,1,2,2,0,Draw
167,Spain Liga,2022-01-02,Atletico Madrid,Rayo Vallecano,2,0,2021/22,Home,2022,1,2,0,2,Win
168,Spain Liga,2021-12-22,Granada,Atletico Madrid,2,1,2021/22,Away,2021,12,1,2,-1,Loss
169,Spain Liga,2021-12-18,Sevilla,Atletico Madrid,2,1,2021/22,Away,2021,12,1,2,-1,Loss
170,Spain Liga,2021-12-12,Real Madrid,Atletico Madrid,2,0,2021/22,Away,2021,12,0,2,-2,Loss
171,UEFA Champions League,2021-12-07,FC Porto,Atletico Madrid,1,3,2021/22,Away,2021,12,3,1,2,Win
172,Spain Liga,2021-12-04,Atletico Madrid,Mallorca,1,2,2021/22,Home,2021,12,1,2,-1,Loss
173,Spain Liga,2021-11-28,Cadiz CF,Atletico Madrid,1,4,2021/22,Away,2021,11,4,1,3,Win
174,UEFA Champions League,2021-11-24,Atletico Madrid,AC Milan,0,1,2021/22,Home,2021,11,0,1,-1,Loss
175,Spain Liga,2021-11-20,Atletico Madrid,Osasuna,1,0,2021/22,Home,2021,11,1,0,1,Win
176,Spain Liga,2021-11-07,Valencia,Atletico Madrid,3,3,2021/22,Away,2021,11,3,3,0,Draw
177,UEFA Champions League,2021-11-03,Liverpool FC,Atletico Madrid,2,0,2021/22,Away,2021,11,0,2,-2,Loss
178,Spain Liga,2021-10-31,Atletico Madrid,Real Betis,3,0,2021/22,Home,2021,10,3,0,3,Win
179,Spain Liga,2021-10-28,Levante,Atletico Madrid,2,2,2021/22,Away,2021,10,2,2,0,Draw
180,Spain Liga,2021-10-24,Atletico Madrid,Real Sociedad,2,2,2021/22,Home,2021,10,2,2,0,Draw
181,UEFA Champions League,2021-10-19,Atletico Madrid,Liverpool FC,2,3,2021/22,Home,2021,10,2,3,-1,Loss
182,Spain Liga,2021-10-02,Atletico Madrid,Barcelona,2,0,2021/22,Home,2021,10,2,0,2,Win
183,UEFA Champions League,2021-09-28,AC Milan,Atletico Madrid,1,2,2021/22,Away,2021,9,2,1,1,Win
184,Spain Liga,2021-09-25,Deportivo Alaves,Atletico Madrid,1,0,2021/22,Away,2021,9,0,1,-1,Loss
185,Spain Liga,2021-09-21,Getafe,Atletico Madrid,1,2,2021/22,Away,2021,9,2,1,1,Win
186,Spain Liga,2021-09-18,Atletico Madrid,Athletic Bilbao,0,0,2021/22,Home,2021,9,0,0,0,Draw
187,UEFA Champions League,2021-09-15,Atletico Madrid,FC Porto,0,0,2021/22,Home,2021,9,0,0,0,Draw
188,Spain Liga,2021-09-12,RCD Espanyol,Atletico Madrid,1,2,2021/22,Away,2021,9,2,1,1,Win
189,Spain Liga,2021-08-29,Atletico Madrid,Villarreal,2,2,2021/22,Home,2021,8,2,2,0,Draw
190,Spain Liga,2021-08-22,Atletico Madrid,Elche,1,0,2021/22,Home,2021,8,1,0,1,Win
191,Spain Liga,2021-08-15,Celta Vigo,Atletico Madrid,1,2,2021/22,Away,2021,8,2,1,1,Win
192,Spain Liga,2021-05-22,Real Valladolid,Atletico Madrid,1,2,2020/21,Away,2021,5,2,1,1,Win
193,Spain Liga,2021-05-16,Atletico Madrid,Osasuna,2,1,2020/21,Home,2021,5,2,1,1,Win
194,Spain Liga,2021-05-12,Atletico Madrid,Real Sociedad,2,1,2020/21,Home,2021,5,2,1,1,Win
195,Spain Liga,2021-05-08,Barcelona,Atletico Madrid,0,0,2020/21,Away,2021,5,0,0,0,Draw
