Index,Competition,Date,Home_Team,Away_Team,Home_Score,Away_Score,Season,Place,Year,Month,Atletico_Goals,Opponent_Goals,Goal_Difference,Match_Status
586,Spain Liga,2013-05-04,Deportivo La Coruna,Atletico Madrid,0,0,2012/13,Away,2013,5,0,0,0,Draw
587,Spain Liga,2013-04-27,Atletico Madrid,Real Madrid,1,2,2012/13,Home,2013,4,1,2,-1,Loss
588,Spain Liga,2013-04-21,Sevilla,Atletico Madrid,0,1,2012/13,Away,2013,4,1,0,1,Win
589,Spain Liga,2013-04-14,Atletico Madrid,Granada,5,0,2012/13,Home,2013,4,5,0,5,Win
590,Spain Liga,2013-04-07,Getafe,Atletico Madrid,0,0,2012/13,Away,2013,4,0,0,0,Draw
591,Spain Liga,2013-03-31,Atletico Madrid,Valencia,1,1,2012/13,Home,2013,3,1,1,0,Draw
592,Spain Liga,2013-03-17,Osasuna,Atletico Madrid,0,2,2012/13,Away,2013,3,2,0,2,Win
593,Spain Liga,2013-03-10,Atletico Madrid,Real Sociedad,0,1,2012/13,Home,2013,3,0,1,-1,Loss
594,Spain Liga,2013-03-03,Malaga,Atletico Madrid,0,0,2012/13,Away,2013,3,0,0,0,Draw
595,Spain Liga,2013-02-24,Atletico Madrid,RCD Espanyol,1,0,2012/13,Home,2013,2,1,0,1,Win
596,UEFA Europa League,2013-02-21,Rubin Kazan,Atletico Madrid,0,1,2012/13,Away,2013,2,1,0,1,Win
597,Spain Liga,2013-02-17,Real Valladolid,Atletico Madrid,0,3,2012/13,Away,2013,2,3,0,3,Win
598,UEFA Europa League,2013-02-14,Atletico Madrid,Rubin Kazan,0,2,2012/13,Home,2013,2,0,2,-2,Loss
599,Spain Liga,2013-02-10,Rayo Vallecano,Atletico Madrid,2,1,2012/13,Away,2013,2,1,2,-1,Loss
600,Spain Liga,2013-02-03,Atletico Madrid,Real Betis,1,0,2012/13,Home,2013,2,1,0,1,Win
601,Spain Liga,2013-01-27,Athletic Bilbao,Atletico Madrid,3,0,2012/13,Away,2013,1,0,3,-3,Loss
602,Spain Liga,2013-01-20,Atletico Madrid,Levante,2,0,2012/13,Home,2013,1,2,0,2,Win
603,Spain Liga,2013-01-13,Atletico Madrid,Real Zaragoza,2,0,2012/13,Home,2013,1,2,0,2,Win
604,Spain Liga,2013-01-06,Mallorca,Atletico Madrid,1,1,2012/13,Away,2013,1,1,1,0,Draw
605,Spain Liga,2012-12-21,Atletico Madrid,Celta Vigo,1,0,2012/13,Home,2012,12,1,0,1,Win
606,Spain Liga,2012-12-16,Barcelona,Atletico Madrid,4,1,2012/13,Away,2012,12,1,4,-3,Loss
607,Spain Liga,2012-12-09,Atletico Madrid,Deportivo La Coruna,6,0,2012/13,Home,2012,12,6,0,6,Win
608,UEFA Europa League,2012-12-06,Viktoria Plzeň,Atletico Madrid,1,0,2012/13,Away,2012,12,0,1,-1,Loss
609,Spain Liga,2012-12-01,Real Madrid,Atletico Madrid,2,0,2012/13,Away,2012,12,0,2,-2,Loss
610,Spain Liga,2012-11-25,Atletico Madrid,Sevilla,4,0,2012/13,Home,2012,11,4,0,4,Win
611,UEFA Europa League,2012-11-22,Atletico Madrid,Hapoel Tel Aviv,1,0,2012/13,Home,2012,11,1,0,1,Win
612,Spain Liga,2012-11-18,Granada,Atletico Madrid,0,1,2012/13,Away,2012,11,1,0,1,Win
613,Spain Liga,2012-11-11,Atletico Madrid,Getafe,2,0,2012/13,Home,2012,11,2,0,2,Win
614,UEFA Europa League,2012-11-08,Academica,Atletico Madrid,2,0,2012/13,Away,2012,11,0,2,-2,Loss
615,Spain Liga,2012-11-03,Valencia,Atletico Madrid,2,0,2012/13,Away,2012,11,0,2,-2,Loss
616,Spain Liga,2012-10-28,Atletico Madrid,Osasuna,3,1,2012/13,Home,2012,10,3,1,2,Win
617,UEFA Europa League,2012-10-25,Atletico Madrid,Academica,2,1,2012/13,Home,2012,10,2,1,1,Win
618,Spain Liga,2012-10-21,Real Sociedad,Atletico Madrid,0,1,2012/13,Away,2012,10,1,0,1,Win
619,Spain Liga,2012-10-07,Atletico Madrid,Malaga,2,1,2012/13,Home,2012,10,2,1,1,Win
620,UEFA Europa League,2012-10-04,Atletico Madrid,Viktoria Plzeň,1,0,2012/13,Home,2012,10,1,0,1,Win
621,Spain Liga,2012-09-30,RCD Espanyol,Atletico Madrid,0,1,2012/13,Away,2012,9,1,0,1,Win
622,Spain Liga,2012-09-26,Real Betis,Atletico Madrid,2,4,2012/13,Away,2012,9,4,2,2,Win
623,Spain Liga,2012-09-23,Atletico Madrid,Real Valladolid,2,1,2012/13,Home,2012,9,2,1,1,Win
624,UEFA Europa League,2012-09-20,Hapoel Tel Aviv,Atletico Madrid,0,3,2012/13,Away,2012,9,3,0,3,Win
625,Spain Liga,2012-09-16,Atletico Madrid,Rayo Vallecano,4,3,2012/13,Home,2012,9,4,3,1,Win
626,Spain Liga,2012-08-27,Atletico Madrid,Athletic Bilbao,4,0,2012/13,Home,2012,8,4,0,4,Win
627,Spain Liga,2012-08-19,Levante,Atletico Madrid,1,1,2012/13,Away,2012,8,1,1,0,Draw
628,Spain Liga,2012-05-13,Villarreal,Atletico Madrid,0,1,2011/12,Away,2012,5,1,0,1,Win
629,UEFA Europa League,2012-05-09,Atletico Madrid,Athletic Bilbao,3,0,2011/12,Home,2012,5,3,0,3,Win
630,Spain Liga,2012-05-05,Atletico Madrid,Malaga,2,1,2011/12,Home,2012,5,2,1,1,Win
631,Spain Liga,2012-05-02,Atletico Madrid,Real Sociedad,1,1,2011/12,Home,2012,5,1,1,0,Draw
632,Spain Liga,2012-04-29,Real Betis,Atletico Madrid,2,2,2011/12,Away,2012,4,2,2,0,Draw
633,UEFA Europa League,2012-04-26,Valencia,Atletico Madrid,0,1,2011/12,Away,2012,4,1,0,1,Win
634,Spain Liga,2012-04-22,Atletico Madrid,RCD Espanyol,3,1,2011/12,Home,2012,4,3,1,2,Win
635,UEFA Europa League,2012-04-19,Atletico Madrid,Valencia,4,2,2011/12,Home,2012,4,4,2,2,Win
636,Spain Liga,2012-04-15,Rayo Vallecano,Atletico Madrid,0,1,2011/12,Away,2012,4,1,0,1,Win
637,Spain Liga,2012-04-11,Atletico Madrid,Real Madrid,1,4,2011/12,Home,2012,4,1,4,-3,Loss
638,Spain Liga,2012-04-08,Levante,Atletico Madrid,2,0,2011/12,Away,2012,4,0,2,-2,Loss
639,UEFA Europa League,2012-04-05,Hannover 96,Atletico Madrid,1,2,2011/12,Away,2012,4,2,1,1,Win
640,Spain Liga,2012-04-01,Atletico Madrid,Getafe,3,0,2011/12,Home,2012,4,3,0,3,Win
641,UEFA Europa League,2012-03-29,Atletico Madrid,Hannover 96,2,1,2011/12,Home,2012,3,2,1,1,Win
642,Spain Liga,2012-03-25,Real Zaragoza,Atletico Madrid,1,0,2011/12,Away,2012,3,0,1,-1,Loss
643,Spain Liga,2012-03-21,Atletico Madrid,Athletic Bilbao,2,1,2011/12,Home,2012,3,2,1,1,Win
644,Spain Liga,2012-03-18,Mallorca,Atletico Madrid,2,1,2011/12,Away,2012,3,1,2,-1,Loss
645,UEFA Europa League,2012-03-15,Beşiktaş,Atletico Madrid,0,3,2011/12,Away,2012,3,3,0,3,Win
646,Spain Liga,2012-03-11,Atletico Madrid,Granada,2,0,2011/12,Home,2012,3,2,0,2,Win
647,UEFA Europa League,2012-03-08,Atletico Madrid,Beşiktaş,3,1,2011/12,Home,2012,3,3,1,2,Win
648,Spain Liga,2012-03-03,Sevilla,Atletico Madrid,1,1,2011/12,Away,2012,3,1,1,0,Draw
649,Spain Liga,2012-02-26,Atletico Madrid,Barcelona,1,2,2011/12,Home,2012,2,1,2,-1,Loss
650,UEFA Europa League,2012-02-23,Atletico Madrid,Lazio,1,0,2011/12,Home,2012,2,1,0,1,Win
651,Spain Liga,2012-02-19,Sporting Gijon,Atletico Madrid,1,1,2011/12,Away,2012,2,1,1,0,Draw
652,UEFA Europa League,2012-02-16,Lazio,Atletico Madrid,1,3,2011/12,Away,2012,2,3,1,2,Win
653,Spain Liga,2012-02-11,Racing Santander,Atletico Madrid,0,0,2011/12,Away,2012,2,0,0,0,Draw
654,Spain Liga,2012-02-05,Atletico Madrid,Valencia,0,0,2011/12,Home,2012,2,0,0,0,Draw
655,Spain Liga,2012-01-30,Osasuna,Atletico Madrid,0,1,2011/12,Away,2012,1,1,0,1,Win
656,Spain Liga,2012-01-21,Real Sociedad,Atletico Madrid,0,4,2011/12,Away,2012,1,4,0,4,Win
657,Spain Liga,2012-01-15,Atletico Madrid,Villarreal,3,0,2011/12,Home,2012,1,3,0,3,Win
658,Spain Liga,2012-01-07,Malaga,Atletico Madrid,0,0,2011/12,Away,2012,1,0,0,0,Draw
659,Spain Liga,2011-12-18,Atletico Madrid,Real Betis,0,2,2011/12,Home,2011,12,0,2,-2,Loss
660,UEFA Europa League,2011-12-15,Atletico Madrid,Rennes,3,1,2011/12,Home,2011,12,3,1,2,Win
661,Spain Liga,2011-12-11,RCD Espanyol,Atletico Madrid,4,2,2011/12,Away,2011,12,2,4,-2,Loss
662,Spain Liga,2011-12-04,Atletico Madrid,Rayo Vallecano,3,1,2011/12,Home,2011,12,3,1,2,Win
663,UEFA Europa League,2011-11-30,Celtic,Atletico Madrid,0,1,2011/12,Away,2011,11,1,0,1,Win
664,Spain Liga,2011-11-26,Real Madrid,Atletico Madrid,4,1,2011/12,Away,2011,11,1,4,-3,Loss
665,Spain Liga,2011-11-20,Atletico Madrid,Levante,3,2,2011/12,Home,2011,11,3,2,1,Win
666,Spain Liga,2011-11-06,Getafe,Atletico Madrid,3,2,2011/12,Away,2011,11,2,3,-1,Loss
667,UEFA Europa League,2011-11-03,Atletico Madrid,Udinese,4,0,2011/12,Home,2011,11,4,0,4,Win
668,Spain Liga,2011-10-30,Atletico Madrid,Real Zaragoza,3,1,2011/12,Home,2011,10,3,1,2,Win
669,Spain Liga,2011-10-27,Athletic Bilbao,Atletico Madrid,3,0,2011/12,Away,2011,10,0,3,-3,Loss
670,Spain Liga,2011-10-23,Atletico Madrid,Mallorca,1,1,2011/12,Home,2011,10,1,1,0,Draw
671,UEFA Europa League,2011-10-20,Udinese,Atletico Madrid,2,0,2011/12,Away,2011,10,0,2,-2,Loss
672,Spain Liga,2011-10-15,Granada,Atletico Madrid,0,0,2011/12,Away,2011,10,0,0,0,Draw
673,Spain Liga,2011-10-02,Atletico Madrid,Sevilla,0,0,2011/12,Home,2011,10,0,0,0,Draw
674,UEFA Europa League,2011-09-29,Rennes,Atletico Madrid,1,1,2011/12,Away,2011,9,1,1,0,Draw
675,Spain Liga,2011-09-24,Barcelona,Atletico Madrid,5,0,2011/12,Away,2011,9,0,5,-5,Loss
676,Spain Liga,2011-09-21,Atletico Madrid,Sporting Gijon,4,0,2011/12,Home,2011,9,4,0,4,Win
677,Spain Liga,2011-09-18,Atletico Madrid,Racing Santander,4,0,2011/12,Home,2011,9,4,0,4,Win
678,UEFA Europa League,2011-09-15,Atletico Madrid,Celtic,2,0,2011/12,Home,2011,9,2,0,2,Win
679,Spain Liga,2011-09-10,Valencia,Atletico Madrid,1,0,2011/12,Away,2011,9,0,1,-1,Loss
680,Spain Liga,2011-08-28,Atletico Madrid,Osasuna,0,0,2011/12,Home,2011,8,0,0,0,Draw
681,UEFA Europa League,2011-08-25,Vitoria Guimarães,Atletico Madrid,0,4,2011/12,Away,2011,8,4,0,4,Win
682,UEFA Europa League,2011-08-18,Atletico Madrid,Vitoria Guimarães,2,0,2011/12,Home,2011,8,2,0,2,Win
683,Spain Liga,2011-05-21,Mallorca,Atletico Madrid,3,4,2010/11,Away,2011,5,4,3,1,Win
684,Spain Liga,2011-05-15,Atletico Madrid,Hercules,2,1,2010/11,Home,2011,5,2,1,1,Win
685,Spain Liga,2011-05-10,Racing Santander,Atletico Madrid,2,1,2010/11,Away,2011,5,1,2,-1,Loss
686,Spain Liga,2011-05-07,Atletico Madrid,Malaga,0,3,2010/11,Home,2011,5,0,3,-3,Loss
687,Spain Liga,2011-04-30,Deportivo La Coruna,Atletico Madrid,0,1,2010/11,Away,2011,4,1,0,1,Win
688,Spain Liga,2011-04-24,Atletico Madrid,Levante,4,1,2010/11,Home,2011,4,4,1,3,Win
689,Spain Liga,2011-04-17,RCD Espanyol,Atletico Madrid,2,2,2010/11,Away,2011,4,2,2,0,Draw
690,Spain Liga,2011-04-10,Atletico Madrid,Real Sociedad,3,0,2010/11,Home,2011,4,3,0,3,Win
691,Spain Liga,2011-04-03,Osasuna,Atletico Madrid,2,3,2010/11,Away,2011,4,3,2,1,Win
692,Spain Liga,2011-03-19,Atletico Madrid,Real Madrid,1,2,2010/11,Home,2011,3,1,2,-1,Loss
693,Spain Liga,2011-03-12,Almeria,Atletico Madrid,2,2,2010/11,Away,2011,3,2,2,0,Draw
694,Spain Liga,2011-03-05,Atletico Madrid,Villarreal,3,1,2010/11,Home,2011,3,3,1,2,Win
695,Spain Liga,2011-03-02,Getafe,Atletico Madrid,1,1,2010/11,Away,2011,3,1,1,0,Draw
696,Spain Liga,2011-02-26,Atletico Madrid,Sevilla,2,2,2010/11,Home,2011,2,2,2,0,Draw
697,Spain Liga,2011-02-19,Real Zaragoza,Atletico Madrid,0,1,2010/11,Away,2011,2,1,0,1,Win
698,Spain Liga,2011-02-12,Atletico Madrid,Valencia,1,2,2010/11,Home,2011,2,1,2,-1,Loss
699,Spain Liga,2011-02-05,Barcelona,Atletico Madrid,3,0,2010/11,Away,2011,2,0,3,-3,Loss
700,Spain Liga,2011-01-30,Atletico Madrid,Athletic Bilbao,0,2,2010/11,Home,2011,1,0,2,-2,Loss
701,Spain Liga,2011-01-23,Sporting Gijon,Atletico Madrid,1,0,2010/11,Away,2011,1,0,1,-1,Loss
702,Spain Liga,2011-01-17,Atletico Madrid,Mallorca,3,0,2010/11,Home,2011,1,3,0,3,Win
703,Spain Liga,2011-01-10,Hercules,Atletico Madrid,4,1,2010/11,Away,2011,1,1,4,-3,Loss
704,Spain Liga,2011-01-03,Atletico Madrid,Racing Santander,0,0,2010/11,Home,2011,1,0,0,0,Draw
705,Spain Liga,2010-12-19,Malaga,Atletico Madrid,0,3,2010/11,Away,2010,12,3,0,3,Win
706,UEFA Europa League,2010-12-16,Bayer Leverkusen,Atletico Madrid,1,1,2010/11,Away,2010,12,1,1,0,Draw
707,Spain Liga,2010-12-11,Atletico Madrid,Deportivo La Coruna,2,0,2010/11,Home,2010,12,2,0,2,Win
708,Spain Liga,2010-12-04,Levante,Atletico Madrid,2,0,2010/11,Away,2010,12,0,2,-2,Loss
709,UEFA Europa League,2010-12-01,Atletico Madrid,Aris Thessaloniki FC,2,3,2010/11,Home,2010,12,2,3,-1,Loss
710,Spain Liga,2010-11-27,Atletico Madrid,RCD Espanyol,2,3,2010/11,Home,2010,11,2,3,-1,Loss
711,Spain Liga,2010-11-21,Real Sociedad,Atletico Madrid,2,4,2010/11,Away,2010,11,4,2,2,Win
712,Spain Liga,2010-11-13,Atletico Madrid,Osasuna,3,0,2010/11,Home,2010,11,3,0,3,Win
713,Spain Liga,2010-11-07,Real Madrid,Atletico Madrid,2,0,2010/11,Away,2010,11,0,2,-2,Loss
714,UEFA Europa League,2010-11-04,Rosenborg BK,Atletico Madrid,1,2,2010/11,Away,2010,11,2,1,1,Win
715,Spain Liga,2010-10-31,Atletico Madrid,Almeria,1,1,2010/11,Home,2010,10,1,1,0,Draw
716,Spain Liga,2010-10-24,Villarreal,Atletico Madrid,2,0,2010/11,Away,2010,10,0,2,-2,Loss
717,UEFA Europa League,2010-10-21,Atletico Madrid,Rosenborg BK,3,0,2010/11,Home,2010,10,3,0,3,Win
718,Spain Liga,2010-10-16,Atletico Madrid,Getafe,2,0,2010/11,Home,2010,10,2,0,2,Win
719,Spain Liga,2010-10-03,Sevilla,Atletico Madrid,3,1,2010/11,Away,2010,10,1,3,-2,Loss
720,UEFA Europa League,2010-09-30,Atletico Madrid,Bayer Leverkusen,1,1,2010/11,Home,2010,9,1,1,0,Draw
721,Spain Liga,2010-09-26,Atletico Madrid,Real Zaragoza,1,0,2010/11,Home,2010,9,1,0,1,Win
722,Spain Liga,2010-09-22,Valencia,Atletico Madrid,1,1,2010/11,Away,2010,9,1,1,0,Draw
723,Spain Liga,2010-09-19,Atletico Madrid,Barcelona,1,2,2010/11,Home,2010,9,1,2,-1,Loss
724,UEFA Europa League,2010-09-16,Aris Thessaloniki FC,Atletico Madrid,1,0,2010/11,Away,2010,9,0,1,-1,Loss
725,Spain Liga,2010-09-11,Athletic Bilbao,Atletico Madrid,1,2,2010/11,Away,2010,9,2,1,1,Win
726,Spain Liga,2010-08-30,Atletico Madrid,Sporting Gijon,4,0,2010/11,Home,2010,8,4,0,4,Win
727,Spain Liga,2010-05-15,Atletico Madrid,Getafe,0,3,2009/10,Home,2010,5,0,3,-3,Loss
728,UEFA Europa League,2010-05-12,Atletico Madrid,Fulham,2,1,2009/10,Home,2010,5,2,1,1,Win
729,Spain Liga,2010-05-08,Sporting Gijon,Atletico Madrid,1,1,2009/10,Away,2010,5,1,1,0,Draw
730,Spain Liga,2010-05-05,Atletico Madrid,Real Valladolid,3,1,2009/10,Home,2010,5,3,1,2,Win
731,Spain Liga,2010-05-02,Sevilla,Atletico Madrid,3,1,2009/10,Away,2010,5,1,3,-2,Loss
732,UEFA Europa League,2010-04-29,Liverpool FC,Atletico Madrid,2,1,2009/10,Away,2010,4,1,2,-1,Loss
733,Spain Liga,2010-04-25,Atletico Madrid,Tenerife,3,1,2009/10,Home,2010,4,3,1,2,Win
734,UEFA Europa League,2010-04-22,Atletico Madrid,Liverpool FC,1,0,2009/10,Home,2010,4,1,0,1,Win
735,Spain Liga,2010-04-17,Villarreal,Atletico Madrid,2,1,2009/10,Away,2010,4,1,2,-1,Loss
736,Spain Liga,2010-04-14,Atletico Madrid,Deportivo Xerez,1,2,2009/10,Home,2010,4,1,2,-1,Loss
737,Spain Liga,2010-04-11,RCD Espanyol,Atletico Madrid,3,0,2009/10,Away,2010,4,0,3,-3,Loss
738,UEFA Europa League,2010-04-08,Atletico Madrid,Valencia,0,0,2009/10,Home,2010,4,0,0,0,Draw
739,Spain Liga,2010-04-04,Atletico Madrid,Deportivo La Coruna,3,0,2009/10,Home,2010,4,3,0,3,Win
740,UEFA Europa League,2010-04-01,Valencia,Atletico Madrid,2,2,2009/10,Away,2010,4,2,2,0,Draw
741,Spain Liga,2010-03-28,Real Madrid,Atletico Madrid,3,2,2009/10,Away,2010,3,2,3,-1,Loss
742,Spain Liga,2010-03-25,Atletico Madrid,Athletic Bilbao,2,0,2009/10,Home,2010,3,2,0,2,Win
743,Spain Liga,2010-03-21,Mallorca,Atletico Madrid,4,1,2009/10,Away,2010,3,1,4,-3,Loss
744,UEFA Europa League,2010-03-18,Sporting,Atletico Madrid,2,2,2009/10,Away,2010,3,2,2,0,Draw
745,Spain Liga,2010-03-15,Atletico Madrid,Osasuna,1,0,2009/10,Home,2010,3,1,0,1,Win
746,UEFA Europa League,2010-03-11,Atletico Madrid,Sporting,0,0,2009/10,Home,2010,3,0,0,0,Draw
747,Spain Liga,2010-03-07,Real Zaragoza,Atletico Madrid,1,1,2009/10,Away,2010,3,1,1,0,Draw
748,Spain Liga,2010-02-28,Atletico Madrid,Valencia,4,1,2009/10,Home,2010,2,4,1,3,Win
749,UEFA Europa League,2010-02-25,Galatasaray,Atletico Madrid,1,2,2009/10,Away,2010,2,2,1,1,Win
750,Spain Liga,2010-02-21,Almeria,Atletico Madrid,1,0,2009/10,Away,2010,2,0,1,-1,Loss
751,UEFA Europa League,2010-02-18,Atletico Madrid,Galatasaray,1,1,2009/10,Home,2010,2,1,1,0,Draw
752,Spain Liga,2010-02-14,Atletico Madrid,Barcelona,2,1,2009/10,Home,2010,2,2,1,1,Win
753,Spain Liga,2010-02-07,Racing Santander,Atletico Madrid,1,1,2009/10,Away,2010,2,1,1,0,Draw
754,Spain Liga,2010-01-31,Atletico Madrid,Malaga,0,2,2009/10,Home,2010,1,0,2,-2,Loss
755,Spain Liga,2010-01-24,Getafe,Atletico Madrid,1,0,2009/10,Away,2010,1,0,1,-1,Loss
756,Spain Liga,2010-01-17,Atletico Madrid,Sporting Gijon,3,2,2009/10,Home,2010,1,3,2,1,Win
757,Spain Liga,2010-01-09,Real Valladolid,Atletico Madrid,0,4,2009/10,Away,2010,1,4,0,4,Win
758,Spain Liga,2010-01-02,Atletico Madrid,Sevilla,2,1,2009/10,Home,2010,1,2,1,1,Win
759,Spain Liga,2009-12-20,Tenerife,Atletico Madrid,1,1,2009/10,Away,2009,12,1,1,0,Draw
760,Spain Liga,2009-12-13,Atletico Madrid,Villarreal,1,2,2009/10,Home,2009,12,1,2,-1,Loss
761,UEFA Champions League,2009-12-08,Atletico Madrid,FC Porto,0,3,2009/10,Home,2009,12,0,3,-3,Loss
762,Spain Liga,2009-12-05,Deportivo Xerez,Atletico Madrid,0,2,2009/10,Away,2009,12,2,0,2,Win
763,Spain Liga,2009-11-29,Atletico Madrid,RCD Espanyol,4,0,2009/10,Home,2009,11,4,0,4,Win
764,UEFA Champions League,2009-11-25,APOEL Nicosia,Atletico Madrid,1,1,2009/10,Away,2009,11,1,1,0,Draw
765,Spain Liga,2009-11-21,Deportivo La Coruna,Atletico Madrid,2,1,2009/10,Away,2009,11,1,2,-1,Loss
766,Spain Liga,2009-11-07,Atletico Madrid,Real Madrid,2,3,2009/10,Home,2009,11,2,3,-1,Loss
767,UEFA Champions League,2009-11-03,Atletico Madrid,Chelsea FC,2,2,2009/10,Home,2009,11,2,2,0,Draw
768,Spain Liga,2009-10-31,Athletic Bilbao,Atletico Madrid,1,0,2009/10,Away,2009,10,0,1,-1,Loss
769,Spain Liga,2009-10-24,Atletico Madrid,Mallorca,1,1,2009/10,Home,2009,10,1,1,0,Draw
770,UEFA Champions League,2009-10-21,Chelsea FC,Atletico Madrid,4,0,2009/10,Away,2009,10,0,4,-4,Loss
771,Spain Liga,2009-10-18,Osasuna,Atletico Madrid,3,0,2009/10,Away,2009,10,0,3,-3,Loss
772,Spain Liga,2009-10-03,Atletico Madrid,Real Zaragoza,2,1,2009/10,Home,2009,10,2,1,1,Win
773,UEFA Champions League,2009-09-30,FC Porto,Atletico Madrid,2,0,2009/10,Away,2009,9,0,2,-2,Loss
774,Spain Liga,2009-09-26,Valencia,Atletico Madrid,2,2,2009/10,Away,2009,9,2,2,0,Draw
775,Spain Liga,2009-09-23,Atletico Madrid,Almeria,2,2,2009/10,Home,2009,9,2,2,0,Draw
776,Spain Liga,2009-09-19,Barcelona,Atletico Madrid,5,2,2009/10,Away,2009,9,2,5,-3,Loss
777,UEFA Champions League,2009-09-15,Atletico Madrid,APOEL Nicosia,0,0,2009/10,Home,2009,9,0,0,0,Draw
778,Spain Liga,2009-09-12,Atletico Madrid,Racing Santander,1,1,2009/10,Home,2009,9,1,1,0,Draw
779,Spain Liga,2009-08-30,Malaga,Atletico Madrid,3,0,2009/10,Away,2009,8,0,3,-3,Loss
780,UEFA Champions League,2009-08-25,Atletico Madrid,Panathinaikos,2,0,2009/10,Home,2009,8,2,0,2,Win
781,UEFA Champions League,2009-08-19,Panathinaikos,Atletico Madrid,2,3,2009/10,Away,2009,8,3,2,1,Win
